Tipo,NombreRestaurante_,NombreUsuario_,LocalizaciónUsario_,NivelUsuario_,OpinionesTotalesUsuario_,VotosUtiles_,IDComentario_,ValoracionComentario_,TituloComentario_,Comentario_,FechaCometario_,FechaVisitaRestaurante_,ValoracionesComentario_,ResumenPuntuacionesRestaurante_,PrecioMedio_,TipoCocina_,Comida_,CaracteristicasDelResaurante_,AconsejablePara_,Horarios_,DireccionCompletaRestaurante_,Descripcion_
¬Restaurante¬;¬Restaurante Algarabía¬;¬yoyo1964-47¬;¬Gijón, España¬;¬4¬;¬36¬;¬38¬;¬yoyo1964-47No_Qui¬;¬3¬;¬Normal,a secas¬;¬Quizás íbamos con unas expectativas demasiado altas después de haber leído los comentarios hechos en triapvisor.A excepción de que te sientes como en casa,poco más.Las copas después de cenar,nos parecieron muy caras. Quizás íbamos con unas expectativas demasiado altas después de haber leído los comentarios hechos en triapvisor.A excepción de que te sientes como en casa,poco más.Las copas después de cenar,nos parecieron muy caras.¬;¬8 octubre 2013¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬NacheteViajero¬;¬Valencia, España¬;¬5¬;¬76¬;¬67¬;¬NacheteViajeroNo_Qui¬;¬3¬;¬No entiendo tanto halago ¡¡¡¬;¬Quisimos ir a este restaurante por las buenas recomendaciones vertidas en tripadvisor, y la verdad que nos desilusionó mucho. Es cierto que el tiempo no acompaño, día lluvioso, triste, etc... pero el salón del restaurante, a pesar de ser pequeño, no nos resultó nada acogedor, sino más bien frío. Tanto Pilar como Isabel fueron realmente muy amables, la comida estaba... Más  Quisimos ir a este restaurante por las buenas recomendaciones vertidas en tripadvisor, y la verdad que nos desilusionó mucho. Es cierto que el tiempo no acompaño, día lluvioso, triste, etc... pero el salón del restaurante, a pesar de ser pequeño, no nos resultó nada acogedor, sino más bien frío. Tanto Pilar como Isabel fueron realmente muy amables, la comida estaba buena (una ensalada de mollejas, habas y puerros, bacalao a la riojana, vino de la casa, y un postre compartido), pero muy escasa, especialmente el bacalao (dos dados de bacalao, sin acompañamiento, salvo un minúsculo pimiento de piquillo). Por tanto, debo decir que el servicio era bueno, la comida discreta y el precio muy elevado (más de 90 euros).¬;¬8 abril 2013¬;¬Visitado el marzo de 2013¬;¬Relación calidad-precio 1;Ambiente 2;Servicio 3;Comida 3¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬Mrcorrecto¬;¬¬;¬2¬;¬5¬;¬0¬;¬MrcorrectoNo_La¬;¬3¬;¬Normalito¬;¬La comida fue lo mejor, la verdad es que para lo escasa que es la carta, todo esta bueno. El lugar es normalito, y el servicio bastante flojo. En cuanto a los vinos, decir que la carta es corta y excesivamente caros. La relacion calidad/precio, es correcto, sin mas La comida fue lo mejor, la verdad es que para lo escasa que es la carta, todo esta bueno. El lugar es normalito, y el servicio bastante flojo. En cuanto a los vinos, decir que la carta es corta y excesivamente caros. La relacion calidad/precio, es correcto, sin mas¬;¬14 noviembre 2012¬;¬¬;¬Relación calidad-precio 3;Ambiente 3;Servicio 1;Comida 4¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬PABLO A¬;¬Madrid¬;¬2¬;¬9¬;¬2¬;¬PABLO AMu_Hol¬;¬3¬;¬Muy buena comida no tan buena atmósfera¬;¬Hola, recientemente cenamos en este restaurante. La verdad que es muy buena opción para vivir una experiencia diferente. Nada màs entrar te das cuenta de que no es el típico restaurante moderno de Madrid (de los que ha cien mil). Las ueñas muy simpáticas y la comida muy buena pero sinceramente creo que o le hace ningún favor ocupar la... Más  Hola, recientemente cenamos en este restaurante. La verdad que es muy buena opción para vivir una experiencia diferente. Nada màs entrar te das cuenta de que no es el típico restaurante moderno de Madrid (de los que ha cien mil). Las ueñas muy simpáticas y la comida muy buena pero sinceramente creo que o le hace ningún favor ocupar la posición 4 de todo Madrid, puede que esto haga que no cumpla tus expectativas. La atmósfera y la presentación de los platos correcta pero no para tan alta posición en el ranking, y el precio un pelín elevado pero asumible. En definitiva, buena opción para una cena diferente pero no como restaurante de ""cabecera"" de esos a los que solemos ir cada semana.¬;¬1 septiembre 2012¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬echavarri...¬;¬Los Ángeles, California¬;¬3¬;¬18¬;¬4¬;¬echavarri...Pe_Res¬;¬3¬;¬Pequeño y encantador restaurante, no para los más caprichosos¬;¬Restaurante íntimo y cálido poco dirigido por dos hermanas que están muy implicadas en su experiencia. En general, esta podría ser una buena cosa. La comida era buena, el rabo de buey y ensalada de pulpo ambos deliciosos. También deliciosa pasta casera. No me encanta el bacalao con salsa de tomate, demasiado sospechoso en sabor para nosotros, y comer un... Más ¬;¬22 junio 2016¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬jcrane66¬;¬Prague, Czech Republic¬;¬6¬;¬226¬;¬155¬;¬jcrane66Ta_Un¬;¬3¬;¬Tal vez elegí mal...¬;¬Un restaurante precioso, no lejos de la Plaza Mayor y de la Ópera. Los propietarios son realmente preciosas, pasar el rato en nuestra mesa hablando con nosotros. Los vinos de la casa eran excelentes. La comida era ""Aceptar."" pedimos el rabo - que supuestamente es una de sus especialidades, y nos quedamos completamente insuficiente. Los postres eran también bien. Creo... Más ¬;¬13 junio 2016¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬Gome R¬;¬Tel Aviv, Israel¬;¬3¬;¬19¬;¬20¬;¬Gome RVa_Dej¬;¬3¬;¬Vaya por la experiencia¬;¬Dejemos clara una cosa fuera de camino al revisar restaurantes de Madrid: El diseño y el servicio siempre será implacable, es algo que te puedes esperar de buenos restaurantes en esta ciudad. Posiblemente, Algarabia (ruidosa alegría en árabe) te lleva a un nuevo nivel. Encantador ni siquiera empezar a describir. Es una experiencia en sí mismo. La comida, sin embargo,... Más ¬;¬5 octubre 2015¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬sok¬;¬Lillestrom, Noruega¬;¬6¬;¬103¬;¬55¬;¬sokUn_Se¬;¬3¬;¬Un restaurante muy especial¬;¬Se trata de un pequeño restaurante que está dirigido por dos señoras (y han hecho que los últimos 20 años). El menú y la lista de vinos es limitada, y el confort es básico. Fue como cenar en una casa privada (sin conocer los otros). La comida estaba bien, pero no una cena gourmet. Tal vez una buena opción si... Más ¬;¬9 abril 2015¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬Elizabeth...¬;¬Melton Mowbray, Reino Unido¬;¬6¬;¬286¬;¬166¬;¬Elizabeth...Pe_Nos¬;¬3¬;¬Peculiar¬;¬Nos recomendaron este restaurante por un local en un TA forum. Reservamos para el almuerzo y pasó a ser el único comedor de personas, fue una vergüenza, carecía de la atmósfera y el ambiente de tener otros comensales, aunque eran lo suficientemente bueno como para tomar nuestra reserva basada en nosotros es la única reserva ese día, por lo que... Más ¬;¬4 abril 2015¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
¬Restaurante¬;¬Restaurante Algarabía¬;¬Jenni B¬;¬Ashford, Reino Unido¬;¬4¬;¬30¬;¬25¬;¬Jenni BDe_Vin¬;¬3¬;¬Decepcionante después de leer las críticas¬;¬Vinimos aquí para celebrar mi 60 cumpleaños haber reservado por Internet con antelación y teníamos ganas de amor. Descripciones de los anfitriones eran acertadas y estaban solícito y atento pero el menú era difícil de comprender y la comida era decepcionante - muy grasoso y demasiado salada para nuestro gusto aunque nada uno podría decir que era particularmente mala. Era... Más ¬;¬18 octubre 2014¬;¬¬;¬¬;¬¬;¬25 € - 30 €¬;¬Mediterránea, Española¬;¬Cenas¬;¬Bar completo, Reservas, Capacidad, Camareros, Sirve alcohol, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa¬;¬Romántico, Ocasiones especiales, Cocina local¬;¬lunes 21:30 - 23:30 martes 21:30 - 23:30 miércoles 21:30 - 23:30 jueves 21:30 - 23:30 viernes 21:30 - 23:30 sábado 21:30 - 23:30¬;¬Dirección: Calle de la Union 8, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915424131¬;¬Pequeño y familiar restaurante de cocina tradicional (riojana)en el centro de Madrid¬
