Tipo,NombreRestaurante_,NombreUsuario_,LocalizaciónUsario_,NivelUsuario_,OpinionesTotalesUsuario_,VotosUtiles_,IDComentario_,ValoracionComentario_,TituloComentario_,Comentario_,FechaCometario_,FechaVisitaRestaurante_,ValoracionesComentario_,ResumenPuntuacionesRestaurante_,PrecioMedio_,TipoCocina_,Comida_,CaracteristicasDelResaurante_,AconsejablePara_,Horarios_,DireccionCompletaRestaurante_,Descripcion_
¬Restaurante¬;¬DSTAGE¬;¬Laura P¬;¬Provincia de Toledo, España¬;¬4¬;¬25¬;¬12¬;¬Laura PSo_Ser¬;¬4¬;¬Sorprendente¬;¬Servicio impecable con atención al detalle y en su justa medida (nada de camareros/cocineros pesados que no se apartan de la mesa) La comida sorprendente, sus ingredientes y sabores, cada uno de ellos es un descubrimiento. Es una ""vuelta al mundo"" sin dejar Madrid. Experiencia muy muy agradable donde no hay pretensiones de más ni postureo máximo. Una celebración de... Más  Servicio impecable con atención al detalle y en su justa medida (nada de camareros/cocineros pesados que no se apartan de la mesa) La comida sorprendente, sus ingredientes y sabores, cada uno de ellos es un descubrimiento. Es una ""vuelta al mundo"" sin dejar Madrid. Experiencia muy muy agradable donde no hay pretensiones de más ni postureo máximo. Una celebración de cumple perfecta!!¬;¬9 septiembre 2016¬;¬Visitado el julio de 2016¬;¬Relación calidad-precio 4;Servicio 5;Comida 5¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬carlorente¬;¬Madrid, España¬;¬3¬;¬19¬;¬4¬;¬carlorenteMu_Son¬;¬4¬;¬Multitud de sensaciones¬;¬Son tantos los detalles que hay en una experiencia en Dstage que no los desgrano en parte por lo difícil de enumerarlos y en parte por no hacer spoiler a quien pase por aquí. Pero aconsejo estar con todos los sentidos muy alerta todo el tiempo ya que es una experiencia total! Desde luego que el lugar se merece la... Más  Son tantos los detalles que hay en una experiencia en Dstage que no los desgrano en parte por lo difícil de enumerarlos y en parte por no hacer spoiler a quien pase por aquí. Pero aconsejo estar con todos los sentidos muy alerta todo el tiempo ya que es una experiencia total! Desde luego que el lugar se merece la fama que tiene ya que la excelencia se aprecia en todos los aspectos. Las texturas, olores y sabores nuevos y diferentes, trabajados e integrados, son claramente fruto de un enorme esfuerzo y el gran talento de todo el equipo. Para mi gusto, a mejorar el hilo musical, ya que la mayor parte del tiempo nos pareció que no acompañaba para nada a la situación. Pedimos maridaje y tuvimos que pedir un descanso de 5 o 10 minutos a mitad de la cena, y es que sentíamos un poco acelerado de más el ritmo de los platos, e incluso la presentación de los mismos. En cualquier caso, un lugar indiscutiblemente puntero y una experiencia a recomendar.¬;¬9 septiembre 2016¬;¬¬;¬¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬josevelasco¬;¬Madrid, España¬;¬6¬;¬174¬;¬92¬;¬josevelascoMu_Al¬;¬4¬;¬Muy bueno, pero sin magia.¬;¬Al salir del restaurante nos quedamos con una impresión un tanto fría y es esta la que hace que para mi este restaurante no sea excelente, aunque sí muy bueno. Nos encanta comer en cualquier tipo o categoría de restaurante, y hay ciertas cosas que siempre valoramos, la calidad de las materias primas, como están cocinadas, la originalidad, el ambiente... Más  Al salir del restaurante nos quedamos con una impresión un tanto fría y es esta la que hace que para mi este restaurante no sea excelente, aunque sí muy bueno. Nos encanta comer en cualquier tipo o categoría de restaurante, y hay ciertas cosas que siempre valoramos, la calidad de las materias primas, como están cocinadas, la originalidad, el ambiente del local,... siempre matizado con la relación calidad precio. Este restaurante usa una materia prima realmente buena y su personal es amable, pero qué menos si nos fijamos en el precio del menú. Sin embargo, exceptuando un par de platos que sí que nos parecieron realmente especiales, el resto, aunque muy bien presentados y muy bonitos estéticamente, peco un tanto de repetitivo en ciertos ingredientes y un pelo escasos en cantidad, sobre todo en los que estaban basados en carne. En creatividad, originalidad, variedad y cantidad, nos pareció muy bueno, pero también que estaba un par de escalones por debajo de otros restaurantes españoles de su categoría como son el Coque, Diverxo, Club Allard o el Casino de Madrid. El local tampoco nos llegó mucho, pues está un poco en tierra de nadie, no me quedó claro si pretenden un ambiente callejero/industrial o uno más elegante y refinado. Lo dicho en el título, creo que es un restaurante muy bueno, donde se come muy bien y el trato es correcto, pero que a mi parecer, y para lo que se le presupone, le falta un punto de magia, o un toque diferenciador, un ""algo"" que haga que salgas con la boca abierta y ganas de repetir en cuanto puedas (o al menos ese día le faltó, puede que con otro menú todo sea distinto)¬;¬30 agosto 2016¬;¬Visitado el junio de 2016¬;¬Relación calidad-precio 3;Servicio 4;Comida 4¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬dlacasa¬;¬Madrid, España¬;¬4¬;¬28¬;¬10¬;¬dlacasaMe_El¬;¬4¬;¬Merece la pena la inversión¬;¬El servicio es fantástico y la experiencia roza la perfección. Es muy chulo empezar la cena en el bar, continuar en la cocina y después sentarte. El servicio es fantástico y la experiencia roza la perfección. Es muy chulo empezar la cena en el bar, continuar en la cocina y después sentarte.¬;¬23 agosto 2016¬;¬Visitado el diciembre de 2015¬;¬Relación calidad-precio 4;Servicio 5;Comida 5¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬Naranjito G¬;¬madrid¬;¬1¬;¬4¬;¬3¬;¬Naranjito GFa_Fui¬;¬4¬;¬Fantástico lugar¬;¬Fuimos el verano pasado para celebrar nuestro aniversario. El sitio nos pareció fantástico, muy bien ambientado y el servicio que recibimos espectacular. La comida del menú degustación sorprendente, elaboraciones muy creativas y sabrosas. El único pero que le pongo es que la opción de maridaje desde mi punto de vista, es cara en relación con la calidad de los vinos. Fuimos el verano pasado para celebrar nuestro aniversario. El sitio nos pareció fantástico, muy bien ambientado y el servicio que recibimos espectacular. La comida del menú degustación sorprendente, elaboraciones muy creativas y sabrosas. El único pero que le pongo es que la opción de maridaje desde mi punto de vista, es cara en relación con la calidad de los vinos.¬;¬23 agosto 2016¬;¬Visitado el septiembre de 2015¬;¬Relación calidad-precio 4;Servicio 5;Comida 5¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬minombredavid¬;¬¬;¬0¬;¬2¬;¬0¬;¬minombredavidEx_uno¬;¬4¬;¬Excelente¬;¬uno de los mejores que he ido en madrid, la comida exquisita, la calidad-precio muy buena, el trato inmejorable uno de los mejores que he ido en madrid, la comida exquisita, la calidad-precio muy buena, el trato inmejorable¬;¬10 agosto 2016¬;¬Visitado el julio de 2016¬;¬Relación calidad-precio 5;Servicio 5;Comida 5¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬-SDiez10-¬;¬¬;¬5¬;¬63¬;¬16¬;¬-SDiez10-Va_Fui¬;¬4¬;¬Vale la pena, peeeeeero....¬;¬Fuimos con mi chica luego de 3 meses de deseosa espera y la verdad que vale la pena. La ambientación es muy chula, el servicio muy simpático, amable y atento, todo con una casi excesiva modernidad (no encontramos ni el nombre en la puerta jejeje) La comida esta toda muy lograda, variada y rica. Nos gusto la ""evolución"" de la... Más  Fuimos con mi chica luego de 3 meses de deseosa espera y la verdad que vale la pena. La ambientación es muy chula, el servicio muy simpático, amable y atento, todo con una casi excesiva modernidad (no encontramos ni el nombre en la puerta jejeje) La comida esta toda muy lograda, variada y rica. Nos gusto la ""evolución"" de la visita ""guiada"", dede el aperitivo en la barra, tapita preparada en la cocina y cena final en la mesa. Con el postre, una vez más Diego Guerrero se superó! La nube de helado de palomitas... INCREIBLE! Soy de los que piensa que a la hora de pagar un lugar así todo tiene que ser perfecto y no lo fue... Aca van los ""peros"". Después de estar pegado al teléfono esperando mesa por 3 meses, llega una pareja sin reserva y le dan de cenar... Te hace sentir MUY ESTUPIDO. Luego en el lugar hacia MUCHO calor. Los camareros se empeñaban en hacernos sentir mas cómodos pero la ""solución"" era un ventilador en el suelo que se movía y no se quedaba quieto a pesar de la buena voluntad de los camareros. 260€ x 2 personas, Dieguito, no podes poner un ventilador de Leroy Merlyn por dios! El resto... GENIAL!¬;¬30 julio 2016¬;¬¬;¬¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬lucia7592¬;¬Madrid, España¬;¬0¬;¬2¬;¬0¬;¬lucia7592Co_Me¬;¬4¬;¬Comida familiar¬;¬Me encanto ir a ese restaurante nos sirvieron súper bien y muy cómodos. La comida muy exquisita pero tenía un sabor espectacular. Me encanto ir a ese restaurante nos sirvieron súper bien y muy cómodos. La comida muy exquisita pero tenía un sabor espectacular.¬;¬26 julio 2016¬;¬¬;¬¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬melonjamg¬;¬Madrid, España¬;¬2¬;¬8¬;¬6¬;¬melonjamgdi_Tod¬;¬4¬;¬diferente¬;¬Todo estaba bastante rico en general,y aunque el menú está trabajado,se nota el desgaste de la repetición de un día tras otro. Todo estaba bastante rico en general,y aunque el menú está trabajado,se nota el desgaste de la repetición de un día tras otro.¬;¬26 julio 2016¬;¬Visitado el mayo de 2016¬;¬Relación calidad-precio 3;Servicio 3;Comida 4¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
¬Restaurante¬;¬DSTAGE¬;¬María Antonia R¬;¬¬;¬1¬;¬4¬;¬1¬;¬María Antonia RAn_Un¬;¬4¬;¬Aniversario¬;¬Un excelente y muy original restaurante pero quizás con un servicio que no está a la altura de la cocina. Fui hace un año y me pareció sencillamente perfecto pero en esta ocasión no tuve la misma impresión. Un excelente y muy original restaurante pero quizás con un servicio que no está a la altura de la cocina. Fui hace un año y me pareció sencillamente perfecto pero en esta ocasión no tuve la misma impresión.¬;¬25 julio 2016¬;¬¬;¬¬;¬¬;¬¬;¬Internacional, Mediterránea, Europea, Española, Contemporánea¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo¬;¬Ocasiones especiales, Reuniones de negocios, Romántico¬;¬lunes 13:30 - 15:00 21:00 - 23:00 martes 13:30 - 15:00 21:00 - 23:00 miércoles 13:30 - 15:00 21:00 - 23:00 jueves 13:30 - 15:00 21:00 - 23:00 viernes 13:30 - 15:00 21:00 - 23:00¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬;¬Dirección: C/ Regueros,8, 28004 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Chueca Barrio: Chueca Número de teléfono: 917021586¬
