Tipo,NombreRestaurante_,NombreUsuario_,LocalizaciónUsario_,NivelUsuario_,OpinionesTotalesUsuario_,VotosUtiles_,IDComentario_,ValoracionComentario_,TituloComentario_,Comentario_,FechaCometario_,FechaVisitaRestaurante_,ValoracionesComentario_,ResumenPuntuacionesRestaurante_,PrecioMedio_,TipoCocina_,Comida_,CaracteristicasDelResaurante_,AconsejablePara_,Horarios_,DireccionCompletaRestaurante_,Descripcion_
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬yipsam¬;¬Región de Murcia, España¬;¬5¬;¬60¬;¬35¬;¬yipsamno_fui¬;¬3¬;¬normal sin más¬;¬fuimos por las opiniones y por probar las hamburguesas, y bueno, el local me lo esperaba con las mesas más separadas (están muy juntas), la carta está bien, es variada. No exagero si digo que éramos los únicos españoles que estábamos cenando en todo el sitio... el pan estaba mojado no se por qué, la carne de sabor bien pero... Más  fuimos por las opiniones y por probar las hamburguesas, y bueno, el local me lo esperaba con las mesas más separadas (están muy juntas), la carta está bien, es variada. No exagero si digo que éramos los únicos españoles que estábamos cenando en todo el sitio... el pan estaba mojado no se por qué, la carne de sabor bien pero nada del otro mundo, las patatas fritas estaban demasiado hechas, peor que un burguer king vamos, y bueno de postre, un sábado, no tenían coookie de chocolate, no sé entonces qué tendrían un lunes...pedi el brownie y era puro bizcocho de chocolate de 3 dedos o más de ancho. el servicio sí fue muy bueno y agradables, una cosa por la otra. un consejo: haced reserva porque se llena y no es muy grande¬;¬14 noviembre 2016¬;¬Visitado el noviembre de 2016¬;¬Relación calidad-precio 3;Servicio 4;Comida 3¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Raúl R¬;¬¬;¬3¬;¬13¬;¬0¬;¬Raúl RRe_Est¬;¬3¬;¬Regular¬;¬Estuvimos comiendo y la comida está bien pero nada de otro mundo para el tiempo que tuvimos que esperar. El trato al cliente regular también. Estuvimos comiendo y la comida está bien pero nada de otro mundo para el tiempo que tuvimos que esperar. El trato al cliente regular también.¬;¬27 octubre 2016¬;¬¬;¬¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Gerardo R¬;¬¬;¬6¬;¬133¬;¬60¬;¬Gerardo RVa_Ent¬;¬3¬;¬Vale una visita.¬;¬Entré en este establecimiento -sin ninguna referencia y sin haber pensado comer hamburguesa- porque me llamaron la atención sus pizarras. La decoración y el ambiente que logra son buenos. Por lo que cena una persona allí quizá cenen tres en una de las franquicias de hamburguesas que están por todas partes, pero la diferencia es espectacular. Carne de verdad, en... Más  Entré en este establecimiento -sin ninguna referencia y sin haber pensado comer hamburguesa- porque me llamaron la atención sus pizarras. La decoración y el ambiente que logra son buenos. Por lo que cena una persona allí quizá cenen tres en una de las franquicias de hamburguesas que están por todas partes, pero la diferencia es espectacular. Carne de verdad, en cantidad, y con acompañamientos sabrosos. La única pega -a lo que probé- es que las patatas fritas cortadas tan finas no me gustan, pero eso es cuestión de gustos. Vale una visita.¬;¬17 octubre 2016¬;¬¬;¬¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Uge N¬;¬¬;¬3¬;¬16¬;¬3¬;¬Uge NCo_Uno¬;¬3¬;¬Comida excelente, servicio deficiente¬;¬Uno de mis restaurantes favoritos para degustar unas muy buenas hamburguesas pero en la última visita, el servicio no fue el esperado. Confusiones continuas y malos gestos por parte del manager debido, quizá a la hora tardía en la que cenamos. La comida excelente como siempre. Aún así, volveremos muy pronto. Uno de mis restaurantes favoritos para degustar unas muy buenas hamburguesas pero en la última visita, el servicio no fue el esperado. Confusiones continuas y malos gestos por parte del manager debido, quizá a la hora tardía en la que cenamos. La comida excelente como siempre. Aún así, volveremos muy pronto.¬;¬16 agosto 2016¬;¬¬;¬¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Laura L¬;¬¬;¬2¬;¬9¬;¬2¬;¬Laura LRi_Tie¬;¬3¬;¬Ricas hamburguesas¬;¬Tiene la ventaja de que se puede reservar ya que el local no es demasiado grande. La comida estaba rica y trato bien Tiene la ventaja de que se puede reservar ya que el local no es demasiado grande. La comida estaba rica y trato bien¬;¬26 junio 2016¬;¬¬;¬¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Christian M¬;¬¬;¬0¬;¬1¬;¬0¬;¬Christian MCo_La¬;¬3¬;¬Comida correcta, servicio mejorable¬;¬La atención es bastante mejorable. Al pedir se equivocaron con la guarnición y pusieron pegas a cambiármela. También al coger los pedidos le costaba oir correctamente a la camarera. En cuanto a la comida tengo que decir que los puntos de la carne y los entrantes estan muy bien. Creo que exageran con el cartel de la entrada: ""Definitely, the... Más  La atención es bastante mejorable. Al pedir se equivocaron con la guarnición y pusieron pegas a cambiármela. También al coger los pedidos le costaba oir correctamente a la camarera. En cuanto a la comida tengo que decir que los puntos de la carne y los entrantes estan muy bien. Creo que exageran con el cartel de la entrada: ""Definitely, the best burguer in town""¬;¬2 junio 2016¬;¬Visitado el junio de 2016¬;¬Relación calidad-precio 4;Servicio 2;Comida 4¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Manuel S¬;¬¬;¬5¬;¬58¬;¬41¬;¬Manuel SDE_Est¬;¬3¬;¬DEL MONTÓN¬;¬Este restaurante de comida americana pretende ofrecer hamburgesas de calidad en un ambiente cuidado con un buen servicio. Yo probé la carne de buey, era muy sabrosa, tierna y estaba en su punto, tal como había pedido. El resto de ingredientes era flojillo. Las patatas son otro fuerte de estos lugares. Aquí tengo que decir que me prefiero las del... Más  Este restaurante de comida americana pretende ofrecer hamburgesas de calidad en un ambiente cuidado con un buen servicio. Yo probé la carne de buey, era muy sabrosa, tierna y estaba en su punto, tal como había pedido. El resto de ingredientes era flojillo. Las patatas son otro fuerte de estos lugares. Aquí tengo que decir que me prefiero las del McDonals. Mi conclusión es que este lugar no se puede catalocar dentro de las hamburgueserías selectas. Yo diría que es un ""quiero y no puedo"", un lugar clase ""turista"". La decoración del lugar es normal y los camareros muy atentos. No volveré a este sitio porque hay otros restaurantes del estilo bastante mejores.¬;¬22 marzo 2016¬;¬Visitado el marzo de 2016¬;¬Relación calidad-precio 3;Servicio 4;Comida 3¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Sergio S¬;¬Madrid¬;¬6¬;¬111¬;¬28¬;¬Sergio SBu_La¬;¬3¬;¬Buena carne y cantidad pero algo caro¬;¬La carne y la calidad del producto es buena, las hamburguesas están ricas pero en mi opinión los precios son algo altos. Es cierto que los locales son muy céntricos pero no dejan de ser hamburguesas sin nada extraordinario. Ahora bien, recomiendo mucho la de buey, el sabor es genial. La carne y la calidad del producto es buena, las hamburguesas están ricas pero en mi opinión los precios son algo altos. Es cierto que los locales son muy céntricos pero no dejan de ser hamburguesas sin nada extraordinario. Ahora bien, recomiendo mucho la de buey, el sabor es genial.¬;¬15 marzo 2016¬;¬Visitado el marzo de 2016¬;¬Relación calidad-precio 3;Servicio 4;Comida 4¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬Alhigo¬;¬Madrid, España¬;¬4¬;¬29¬;¬9¬;¬AlhigoCa_La¬;¬3¬;¬Cancela planes post cena¬;¬La comida está rica, no es caro, merecería más la pena ir de no ser por el servicio que es regular y sobre todo porque sales de allí apestando a comida. No tiene buena ventilación. La comida está rica, no es caro, merecería más la pena ir de no ser por el servicio que es regular y sobre todo porque sales de allí apestando a comida. No tiene buena ventilación.¬;¬8 marzo 2016¬;¬Visitado el febrero de 2016¬;¬Relación calidad-precio 3;Servicio 2;Comida 4¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
¬Restaurante¬;¬Steakburger Virgen de los Peligros¬;¬jmjgm¬;¬Madrid, Madrid, Spain¬;¬3¬;¬21¬;¬12¬;¬jmjgmLa_La¬;¬3¬;¬La comida muy buena, precio normal, servicio... muy despistado.¬;¬La hamburguesa que pedí se comía sola, el brownie está buenísimo. Precio normal para lo que es la zona. Pero el camarero que nos tocó se despistaba contínuamente. Tardaba mucho en traer las cosas y se confundía contínuamente. Igual llevaba poco tiempo. La wifi es gratis durante 50 min. pero a mí se me cortó mucho antes y tuve problemas... Más  La hamburguesa que pedí se comía sola, el brownie está buenísimo. Precio normal para lo que es la zona. Pero el camarero que nos tocó se despistaba contínuamente. Tardaba mucho en traer las cosas y se confundía contínuamente. Igual llevaba poco tiempo. La wifi es gratis durante 50 min. pero a mí se me cortó mucho antes y tuve problemas para conectarme de nuevo. Acabé desistiendo.¬;¬27 octubre 2015¬;¬Visitado el octubre de 2015¬;¬Relación calidad-precio 3;Servicio 2;Comida 4¬;¬¬;¬10 € - 20 €¬;¬Americana, Bar, Barbacoa¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬A domicilio, Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Wifi gratuito¬;¬Grupos grandes, Comer barato, Familias con niños, Ocasiones especiales, Niños, Ambiente de bar¬;¬domingo 13:00 - 00:00 lunes 13:00 - 00:00 martes 13:00 - 00:00 miércoles 13:00 - 00:00 jueves 13:00 - 00:00 viernes 13:00 - 01:00 sábado 13:00 - 01:00¬;¬Dirección: Calle Virgen De Los Peligros 10, 28013 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Centro Barrio: Centro Número de teléfono: +34 915 32 02 18¬;¬Steakburger es un restaurante especializado en la elaboración de Hamburguesas de la maxima calidad en un entorno cálido y con buen ambiente. Cuenta con una gran variedad de Entrantes como las maravillosas Quesadillas, Jalapeños, Nachos y una amplia variedad de tratas caseras como la deliciosa Carrot Cake, ademas de Batidos y una gran variedad de Cafes. James nuestro Barman, hace los mejores Mojitos de Madrid.¬
